"Sex","Age.recode.with..1.year.olds","Race.and.origin.recode..NHW..NHB..NHAIAN..NHAPI..Hispanic.","Crude.Rate","Count","Population"
1,7,5,"~",1,0
1,8,0,"3.0",652,21850670
1,8,1,"4.9",184,3766631
1,8,2,"3.1",15,478654
1,8,3,"3.0",170,5672410
1,8,4,"1.7",170,10250089
1,8,5,"~",3,0
1,9,0,"8.3",1810,21884774
1,9,1,"14.9",529,3552466
1,9,2,"5.1",23,452295
1,9,3,"7.4",391,5268411
1,9,4,"3.4",300,8869245
1,9,5,"~",10,0
1,10,0,"21.0",4579,21773068
1,10,1,"35.0",1138,3254555
1,10,2,"16.5",69,417706
1,10,3,"16.6",808,4858014
1,10,4,"8.2",606,7415005
1,10,5,"~",16,0
1,11,0,"46.6",9665,20753621
1,11,1,"81.5",2356,2890793
1,11,2,"37.6",140,371986
1,11,3,"36.3",1571,4331190
1,11,4,"18.0",1077,5979924
1,11,5,"~",26,0
1,12,0,"93.9",17574,18719229
1,12,1,"149.2",3568,2391808
1,12,2,"84.5",265,313552
1,12,3,"68.2",2531,3712177
1,12,4,"37.8",1732,4583878
1,12,5,"~",44,0
1,13,0,"168.8",26717,15831057
1,13,1,"246.7",4517,1830829
1,13,2,"150.4",360,239361
1,13,3,"120.6",3710,3076571
1,13,4,"71.9",2415,3359360
1,13,5,"~",73,0
1,14,0,"274.8",35315,12851710
1,14,1,"373.5",4967,1329883
1,14,2,"201.4",348,172766
1,14,3,"200.4",4945,2467132
1,14,4,"138.3",3291,2379212
1,14,5,"~",77,0
1,15,0,"384.1",38832,10109798
1,15,1,"478.8",4377,914114
1,15,2,"349.1",416,119166
1,15,3,"291.6",5518,1892309
1,15,4,"208.3",3428,1645846
1,15,5,"~",74,0
1,16,0,"478.0",36014,7535040
1,16,1,"559.8",3378,603384
1,16,2,"424.2",318,74973
1,16,3,"375.4",5072,1351203
1,16,4,"293.2",3175,1082785
1,16,5,"~",50,0
1,17,0,"504.1",25633,5085282
1,17,1,"563.6",1975,350409
1,17,2,"428.8",187,43611
1,17,3,"418.0",3739,894433
1,17,4,"333.0",2247,674726
1,17,5,"~",46,0
1,18,0,"429.5",17640,4107188
1,18,1,"469.4",1180,251410
1,18,2,"358.8",113,31494
1,18,3,"402.0",3046,757736
1,18,4,"320.8",1650,514266
1,18,5,"~",21,0
1,19,0,"~",0,0
1,19,1,"~",0,0
1,19,2,"~",0,0
1,19,3,"~",0,0
1,19,4,"~",0,0
1,19,5,"~",0,0
2,0,0,"0.2",5,3146945
2,0,1,"0.1",1,734607
2,0,2,"0.0",0,111909
2,0,3,"0.1",1,864437
2,0,4,"0.0",1,2456384
2,0,5,"~",0,0
2,1,0,"0.0",6,12754403
2,1,1,"0.0",1,3020712
2,1,2,"0.0",0,454266
2,1,3,"0.0",0,3502498
2,1,4,"0.0",2,9616926
2,1,5,"~",0,0
2,2,0,"0.0",1,16182241
2,2,1,"0.0",1,3947290
2,2,2,"0.0",0,586791
2,2,3,"0.0",1,4225374
2,2,4,"0.0",2,11473612
2,2,5,"~",0,0
2,3,0,"0.0",6,16887483
2,3,1,"0.0",1,3984687
2,3,2,"0.0",0,612308
2,3,3,"0.1",3,4318740
2,3,4,"0.1",8,11185784
2,3,5,"~",0,0
2,4,0,"0.2",27,17129954
2,4,1,"0.1",2,3915472
2,4,2,"0.0",0,599526
2,4,3,"0.0",1,4368632
2,4,4,"0.1",7,10753033
2,4,5,"~",1,0
2,5,0,"0.3",52,17588539
2,5,1,"0.4",14,3911585
2,5,2,"0.5",3,556968
2,5,3,"0.2",11,4921350
2,5,4,"0.4",38,10732596
2,5,5,"~",0,0
2,6,0,"0.6",105,19032374
2,6,1,"0.4",16,4203367
2,6,2,"0.2",1,531097
2,6,3,"0.6",36,6063043
2,6,4,"0.4",45,10820146
2,6,5,"~",0,0
2,7,0,"1.4",275,20223332
2,7,1,"1.3",57,4238796
2,7,2,"0.2",1,515064
2,7,3,"1.3",81,6293278
2,7,4,"0.6",65,10377931
2,7,5,"~",7,0
2,8,0,"3.3",687,20859913
2,8,1,"3.7",155,4145009
2,8,2,"1.4",7,497736
2,8,3,"3.2",200,6160134
2,8,4,"1.7",165,9541828
2,8,5,"~",5,0
2,9,0,"8.5",1805,21135873
2,9,1,"11.7",458,3928927
2,9,2,"5.3",25,475208
2,9,3,"7.3",428,5877370
2,9,4,"4.3",364,8498574
2,9,5,"~",1,0
2,10,0,"20.9",4440,21232702
2,10,1,"26.9",972,3609444
2,10,2,"13.7",61,445331
2,10,3,"14.0",763,5462284
2,10,4,"8.5",619,7281370
2,10,5,"~",17,0
2,11,0,"43.3",8884,20515785
2,11,1,"54.2",1751,3228234
2,11,2,"30.0",122,406361
2,11,3,"26.9",1318,4907303
2,11,4,"17.2",1046,6064305
2,11,5,"~",19,0
2,12,0,"81.1",15231,18788704
2,12,1,"91.9",2515,2735339
2,12,2,"63.7",221,346870
2,12,3,"45.0",1935,4297287
2,12,4,"31.0",1511,4868289
2,12,5,"~",40,0
2,13,0,"136.6",22296,16327719
2,13,1,"144.0",3145,2184203
2,13,2,"115.8",317,273681
2,13,3,"71.7",2631,3669064
2,13,4,"54.4",2050,3770771
2,13,5,"~",45,0
2,14,0,"212.4",29630,13952259
2,14,1,"214.5",3645,1698958
2,14,2,"156.5",323,206347
2,14,3,"109.2",3334,3052865
2,14,4,"90.9",2609,2871006
2,14,5,"~",68,0
2,15,0,"295.1",34849,11807578
2,15,1,"260.6",3317,1272963
2,15,2,"233.1",346,148459
2,15,3,"149.9",3599,2400415
2,15,4,"133.0",2849,2142766
2,15,5,"~",55,0
2,16,0,"343.9",33543,9753377
2,16,1,"295.9",2757,931750
2,16,2,"275.4",281,102035
2,16,3,"189.0",3380,1788430
2,16,4,"169.3",2617,1545369
2,16,5,"~",36,0
2,17,0,"330.4",25267,7646435
2,17,1,"267.2",1724,645261
2,17,2,"281.1",188,66889
2,17,3,"216.3",2755,1273811
2,17,4,"180.2",1921,1065934
2,17,5,"~",31,0
2,18,0,"232.3",20121,8661723
2,18,1,"221.2",1415,639771
2,18,2,"186.1",113,60731
2,18,3,"203.7",2650,1300616
2,18,4,"160.7",1601,996369
2,18,5,"~",28,0
2,19,0,"~",0,0
2,19,1,"~",0,0
2,19,2,"~",0,0
2,19,3,"~",0,0
2,19,4,"~",0,0
2,19,5,"~",0,0
