"Sex","Age","SIRE","Crude","Count","Population"
1,8,1,"10.1",381,3766631
1,8,2,"16.5",79,478654
1,8,3,"9.2",523,5672410
1,8,4,"7.2",738,10250089
1,8,5,"~",34,0
1,9,0,"16.8",3667,21884774
1,9,1,"21.1",750,3552466
1,9,2,"19.9",90,452295
1,9,3,"17.6",929,5268411
1,9,4,"12.9",1141,8869245
1,9,5,"~",43,0
1,10,0,"31.0",6758,21773068
1,10,1,"38.9",1267,3254555
1,10,2,"45.2",189,417706
1,10,3,"33.4",1621,4858014
1,10,4,"25.1",1858,7415005
1,10,5,"~",99,0
1,11,0,"60.6",12582,20753621
1,11,1,"79.9",2309,2890793
1,11,2,"79.3",295,371986
1,11,3,"65.6",2843,4331190
1,11,4,"53.2",3181,5979924
1,11,5,"~",236,0
1,12,0,"78.9",14765,18719229
1,12,1,"106.4",2544,2391808
1,12,2,"97.9",307,313552
1,12,3,"86.4",3209,3712177
1,12,4,"72.8",3335,4583878
1,12,5,"~",162,0
1,13,0,"115.4",18263,15831057
1,13,1,"157.6",2885,1830829
1,13,2,"158.8",380,239361
1,13,3,"118.9",3658,3076571
1,13,4,"106.7",3583,3359360
1,13,5,"~",166,0
1,14,0,"168.4",21648,12851710
1,14,1,"217.2",2888,1329883
1,14,2,"186.4",322,172766
1,14,3,"165.2",4075,2467132
1,14,4,"162.2",3859,2379212
1,14,5,"~",132,0
1,15,0,"229.1",23158,10109798
1,15,1,"267.9",2449,914114
1,15,2,"253.4",302,119166
1,15,3,"202.2",3827,1892309
1,15,4,"196.7",3238,1645846
1,15,5,"~",102,0
1,16,0,"297.0",22380,7535040
1,16,1,"329.5",1988,603384
1,16,2,"282.8",212,74973
1,16,3,"248.7",3361,1351203
1,16,4,"240.8",2607,1082785
1,16,5,"~",82,0
1,17,0,"362.2",18419,5085282
1,17,1,"394.1",1381,350409
1,17,2,"364.6",159,43611
1,17,3,"284.1",2541,894433
1,17,4,"277.3",1871,674726
1,17,5,"~",45,0
1,18,0,"388.4",15953,4107188
1,18,1,"383.8",965,251410
1,18,2,"279.4",88,31494
1,18,3,"290.5",2201,757736
1,18,4,"289.0",1486,514266
1,18,5,"~",25,0
1,19,0,"~",0,0
1,19,1,"~",0,0
1,19,2,"~",0,0
1,19,3,"~",0,0
1,19,4,"~",0,0
1,19,5,"~",0,0
2,0,0,"0.0",0,3146945
2,0,1,"0.0",0,734607
2,0,2,"0.0",0,111909
2,0,3,"0.0",0,864437
2,0,4,"0.0",0,2456384
2,0,5,"~",0,0
2,1,0,"0.0",2,12754403
2,1,1,"0.0",0,3020712
2,1,2,"0.0",0,454266
2,1,3,"0.0",0,3502498
2,1,4,"0.0",0,9616926
2,1,5,"~",0,0
2,2,0,"0.1",9,16182241
2,2,1,"0.0",0,3947290
2,2,2,"0.0",0,586791
2,2,3,"0.0",2,4225374
2,2,4,"0.1",6,11473612
2,2,5,"~",0,0
2,3,0,"0.3",57,16887483
2,3,1,"0.1",5,3984687
2,3,2,"0.0",0,612308
2,3,3,"0.1",5,4318740
2,3,4,"0.3",28,11185784
2,3,5,"~",4,0
2,4,0,"0.7",121,17129954
2,4,1,"0.3",10,3915472
2,4,2,"0.5",3,599526
2,4,3,"0.4",18,4368632
2,4,4,"0.6",61,10753033
2,4,5,"~",3,0
2,5,0,"1.4",250,17588539
2,5,1,"0.9",35,3911585
2,5,2,"0.4",2,556968
2,5,3,"1.0",47,4921350
2,5,4,"1.0",103,10732596
2,5,5,"~",9,0
2,6,0,"2.7",508,19032374
2,6,1,"2.1",88,4203367
2,6,2,"4.0",21,531097
2,6,3,"2.2",132,6063043
2,6,4,"2.2",234,10820146
2,6,5,"~",11,0
2,7,0,"4.5",911,20223332
2,7,1,"5.0",211,4238796
2,7,2,"7.2",37,515064
2,7,3,"3.9",243,6293278
2,7,4,"3.7",386,10377931
2,7,5,"~",17,0
2,8,0,"7.9",1656,20859913
2,8,1,"9.8",408,4145009
2,8,2,"13.3",66,497736
2,8,3,"8.0",491,6160134
2,8,4,"7.2",689,9541828
2,8,5,"~",31,0
2,9,0,"14.9",3150,21135873
2,9,1,"17.6",690,3928927
2,9,2,"20.8",99,475208
2,9,3,"14.9",874,5877370
2,9,4,"13.2",1122,8498574
2,9,5,"~",57,0
2,10,0,"25.5",5415,21232702
2,10,1,"36.8",1330,3609444
2,10,2,"38.8",173,445331
2,10,3,"26.9",1471,5462284
2,10,4,"22.6",1649,7281370
2,10,5,"~",73,0
2,11,0,"44.7",9162,20515785
2,11,1,"67.6",2183,3228234
2,11,2,"64.7",263,406361
2,11,3,"52.2",2560,4907303
2,11,4,"43.4",2631,6064305
2,11,5,"~",160,0
2,12,0,"55.5",10420,18788704
2,12,1,"80.5",2202,2735339
2,12,2,"75.5",262,346870
2,12,3,"56.5",2426,4297287
2,12,4,"51.8",2524,4868289
2,12,5,"~",130,0
2,13,0,"78.9",12876,16327719
2,13,1,"114.8",2508,2184203
2,13,2,"105.6",289,273681
2,13,3,"72.0",2642,3669064
2,13,4,"72.7",2742,3770771
2,13,5,"~",90,0
2,14,0,"117.3",16372,13952259
2,14,1,"160.2",2722,1698958
2,14,2,"139.6",288,206347
2,14,3,"104.2",3181,3052865
2,14,4,"98.4",2824,2871006
2,14,5,"~",121,0
2,15,0,"167.9",19821,11807578
2,15,1,"199.5",2539,1272963
2,15,2,"201.4",299,148459
2,15,3,"129.0",3096,2400415
2,15,4,"123.5",2647,2142766
2,15,5,"~",102,0
2,16,0,"231.1",22542,9753377
2,16,1,"246.7",2299,931750
2,16,2,"254.8",260,102035
2,16,3,"167.7",3000,1788430
2,16,4,"164.2",2537,1545369
2,16,5,"~",59,0
2,17,0,"299.3",22888,7646435
2,17,1,"290.1",1872,645261
2,17,2,"260.1",174,66889
2,17,3,"216.0",2751,1273811
2,17,4,"199.8",2130,1065934
2,17,5,"~",42,0
2,18,0,"331.0",28669,8661723
2,18,1,"317.6",2032,639771
2,18,2,"265.1",161,60731
2,18,3,"235.4",3062,1300616
2,18,4,"225.8",2250,996369
2,18,5,"~",42,0
2,19,0,"~",0,0
2,19,1,"~",0,0
2,19,2,"~",0,0
2,19,3,"~",0,0
2,19,4,"~",0,0
2,19,5,"~",0,0
