"Sex","Age","SIRE","Crude","Count","Population"
1,9,1,"7.2",255,3552466
1,9,2,"6.0",27,452295
1,9,3,"4.3",224,5268411
1,9,4,"3.6",322,8869245
1,9,5,"~",0,0
1,10,0,"8.3",1817,21773068
1,10,1,"15.0",488,3254555
1,10,2,"13.2",55,417706
1,10,3,"9.4",455,4858014
1,10,4,"7.4",549,7415005
1,10,5,"~",4,0
1,11,0,"15.5",3217,20753621
1,11,1,"27.1",783,2890793
1,11,2,"24.2",90,371986
1,11,3,"15.0",651,4331190
1,11,4,"14.5",867,5979924
1,11,5,"~",7,0
1,12,0,"26.5",4955,18719229
1,12,1,"48.7",1165,2391808
1,12,2,"40.2",126,313552
1,12,3,"25.4",944,3712177
1,12,4,"26.1",1195,4583878
1,12,5,"~",14,0
1,13,0,"45.1",7136,15831057
1,13,1,"78.8",1442,1830829
1,13,2,"81.5",195,239361
1,13,3,"42.0",1292,3076571
1,13,4,"44.9",1509,3359360
1,13,5,"~",18,0
1,14,0,"73.7",9472,12851710
1,14,1,"128.7",1712,1329883
1,14,2,"100.7",174,172766
1,14,3,"62.2",1535,2467132
1,14,4,"73.6",1752,2379212
1,14,5,"~",17,0
1,15,0,"124.4",12577,10109798
1,15,1,"185.9",1699,914114
1,15,2,"176.2",210,119166
1,15,3,"100.8",1908,1892309
1,15,4,"115.3",1898,1645846
1,15,5,"~",20,0
1,16,0,"210.7",15880,7535040
1,16,1,"286.2",1727,603384
1,16,2,"264.1",198,74973
1,16,3,"165.9",2242,1351203
1,16,4,"185.0",2003,1082785
1,16,5,"~",28,0
1,17,0,"356.5",18130,5085282
1,17,1,"442.1",1549,350409
1,17,2,"389.8",170,43611
1,17,3,"266.5",2384,894433
1,17,4,"290.2",1958,674726
1,17,5,"~",22,0
1,18,0,"747.9",30719,4107188
1,18,1,"754.1",1896,251410
1,18,2,"565.2",178,31494
1,18,3,"549.0",4160,757736
1,18,4,"518.4",2666,514266
1,18,5,"~",37,0
2,0,0,"0.0",0,3146945
2,0,1,"0.0",0,734607
2,0,2,"0.0",0,111909
2,0,3,"0.0",0,864437
2,0,4,"0.0",0,2456384
2,0,5,"~",0,0
2,1,0,"0.0",0,12754403
2,1,1,"0.0",0,3020712
2,1,2,"0.0",0,454266
2,1,3,"0.0",0,3502498
2,1,4,"0.0",0,9616926
2,1,5,"~",0,0
2,2,0,"0.0",0,16182241
2,2,1,"0.0",0,3947290
2,2,2,"0.0",0,586791
2,2,3,"0.0",0,4225374
2,2,4,"0.0",0,11473612
2,2,5,"~",0,0
2,3,0,"0.0",0,16887483
2,3,1,"0.0",0,3984687
2,3,2,"0.0",0,612308
2,3,3,"0.0",1,4318740
2,3,4,"0.0",1,11185784
2,3,5,"~",0,0
2,4,0,"0.0",5,17129954
2,4,1,"0.0",1,3915472
2,4,2,"0.2",1,599526
2,4,3,"0.0",1,4368632
2,4,4,"0.0",5,10753033
2,4,5,"~",0,0
2,5,0,"0.1",13,17588539
2,5,1,"0.2",7,3911585
2,5,2,"0.0",0,556968
2,5,3,"0.2",9,4921350
2,5,4,"0.2",20,10732596
2,5,5,"~",0,0
2,6,0,"0.4",74,19032374
2,6,1,"0.6",27,4203367
2,6,2,"1.3",7,531097
2,6,3,"0.5",30,6063043
2,6,4,"0.4",38,10820146
2,6,5,"~",0,0
2,7,0,"0.9",183,20223332
2,7,1,"1.3",53,4238796
2,7,2,"2.1",11,515064
2,7,3,"1.0",65,6293278
2,7,4,"0.9",91,10377931
2,7,5,"~",1,0
2,8,0,"1.6",329,20859913
2,8,1,"3.0",123,4145009
2,8,2,"2.8",14,497736
2,8,3,"1.9",118,6160134
2,8,4,"1.5",147,9541828
2,8,5,"~",0,0
2,9,0,"3.3",705,21135873
2,9,1,"5.7",222,3928927
2,9,2,"6.3",30,475208
