"Sex","Age","SIRE","Crude","Count","Population"
1,9,1,"11.1",394,3552466
1,9,2,"3.5",16,452295
1,9,3,"4.3",225,5268411
1,9,4,"2.2",193,8869245
1,9,5,"~",3,0
1,10,0,"14.5",3157,21773068
1,10,1,"26.1",851,3254555
1,10,2,"13.6",57,417706
1,10,3,"11.4",555,4858014
1,10,4,"5.1",377,7415005
1,10,5,"~",7,0
1,11,0,"33.2",6893,20753621
1,11,1,"61.9",1788,2890793
1,11,2,"26.3",98,371986
1,11,3,"23.9",1033,4331190
1,11,4,"13.9",831,5979924
1,11,5,"~",13,0
1,12,0,"69.1",12942,18719229
1,12,1,"116.8",2794,2391808
1,12,2,"66.3",208,313552
1,12,3,"47.5",1762,3712177
1,12,4,"28.3",1297,4583878
1,12,5,"~",27,0
1,13,0,"129.0",20425,15831057
1,13,1,"203.1",3719,1830829
1,13,2,"119.1",285,239361
1,13,3,"84.6",2602,3076571
1,13,4,"55.8",1875,3359360
1,13,5,"~",37,0
1,14,0,"216.0",27754,12851710
1,14,1,"319.7",4252,1329883
1,14,2,"183.5",317,172766
1,14,3,"144.3",3561,2467132
1,14,4,"108.9",2590,2379212
1,14,5,"~",36,0
1,15,0,"327.9",33150,10109798
1,15,1,"431.0",3940,914114
1,15,2,"330.6",394,119166
1,15,3,"231.4",4378,1892309
1,15,4,"178.5",2938,1645846
1,15,5,"~",46,0
1,16,0,"443.9",33448,7535040
1,16,1,"565.5",3412,603384
1,16,2,"422.8",317,74973
1,16,3,"330.7",4469,1351203
1,16,4,"271.5",2940,1082785
1,16,5,"~",33,0
1,17,0,"531.8",27042,5085282
1,17,1,"610.1",2138,350409
1,17,2,"447.1",195,43611
1,17,3,"416.0",3721,894433
1,17,4,"342.7",2312,674726
1,17,5,"~",39,0
1,18,0,"549.5",22567,4107188
1,18,1,"616.5",1550,251410
1,18,2,"438.2",138,31494
1,18,3,"482.8",3658,757736
1,18,4,"380.5",1957,514266
1,18,5,"~",22,0
2,0,0,"0.0",1,3146945
2,0,1,"0.0",0,734607
2,0,2,"0.0",0,111909
2,0,3,"0.0",0,864437
2,0,4,"0.0",0,2456384
2,0,5,"~",0,0
2,1,0,"0.0",2,12754403
2,1,1,"0.0",0,3020712
2,1,2,"0.0",0,454266
2,1,3,"0.0",0,3502498
2,1,4,"0.0",2,9616926
2,1,5,"~",0,0
2,2,0,"0.0",0,16182241
2,2,1,"0.0",0,3947290
2,2,2,"0.0",0,586791
2,2,3,"0.0",0,4225374
2,2,4,"0.0",0,11473612
2,2,5,"~",0,0
2,3,0,"0.0",1,16887483
2,3,1,"0.0",1,3984687
2,3,2,"0.0",0,612308
2,3,3,"0.0",1,4318740
2,3,4,"0.0",2,11185784
2,3,5,"~",0,0
2,4,0,"0.0",2,17129954
2,4,1,"0.0",0,3915472
2,4,2,"0.0",0,599526
2,4,3,"0.0",2,4368632
2,4,4,"0.0",1,10753033
2,4,5,"~",0,0
2,5,0,"0.1",10,17588539
2,5,1,"0.1",5,3911585
2,5,2,"0.5",3,556968
2,5,3,"0.0",2,4921350
2,5,4,"0.1",6,10732596
2,5,5,"~",0,0
2,6,0,"0.1",28,19032374
2,6,1,"0.1",4,4203367
2,6,2,"0.2",1,531097
2,6,3,"0.2",13,6063043
2,6,4,"0.2",17,10820146
2,6,5,"~",0,0
2,7,0,"0.5",98,20223332
2,7,1,"0.6",24,4238796
2,7,2,"0.0",0,515064
2,7,3,"0.7",42,6293278
2,7,4,"0.4",37,10377931
2,7,5,"~",1,0
2,8,0,"1.5",312,20859913
2,8,1,"2.1",87,4145009
2,8,2,"0.6",3,497736
2,8,3,"1.7",104,6160134
2,8,4,"0.7",69,9541828
2,8,5,"~",0,0
2,9,0,"4.8",1025,21135873
2,9,1,"7.7",302,3928927
2,9,2,"2.7",13,475208
2,9,3,"3.9",229,5877370
2,9,4,"2.5",212,8498574
2,9,5,"~",0,0
2,10,0,"12.4",2641,21232702
2,10,1,"18.3",660,3609444
2,10,2,"8.1",36,445331
2,10,3,"7.9",431,5462284
2,10,4,"4.8",351,7281370
2,10,5,"~",5,0
2,11,0,"27.6",5662,20515785
2,11,1,"38.3",1235,3228234
2,11,2,"15.5",63,406361
2,11,3,"14.2",695,4907303
2,11,4,"10.5",637,6064305
2,11,5,"~",8,0
2,12,0,"52.1",9780,18788704
2,12,1,"64.5",1764,2735339
2,12,2,"46.4",161,346870
2,12,3,"25.8",1108,4297287
2,12,4,"19.3",939,4868289
2,12,5,"~",14,0
2,13,0,"93.5",15274,16327719
2,13,1,"105.9",2313,2184203
2,13,2,"84.8",232,273681
2,13,3,"43.0",1579,3669064
2,13,4,"36.1",1360,3770771
2,13,5,"~",16,0
2,14,0,"148.4",20708,13952259
2,14,1,"161.3",2741,1698958
2,14,2,"123.1",254,206347
2,14,3,"66.1",2019,3052865
2,14,4,"63.3",1817,2871006
2,14,5,"~",28,0
2,15,0,"227.3",26839,11807578
2,15,1,"221.1",2814,1272963
2,15,2,"182.5",271,148459
2,15,3,"105.6",2536,2400415
2,15,4,"100.0",2143,2142766
2,15,5,"~",32,0
2,16,0,"296.5",28914,9753377
2,16,1,"274.2",2555,931750
2,16,2,"256.8",262,102035
2,16,3,"153.4",2744,1788430
2,16,4,"144.4",2232,1545369
2,16,5,"~",18,0
2,17,0,"332.8",25451,7646435
2,17,1,"284.7",1837,645261
2,17,2,"290.0",194,66889
2,17,3,"199.7",2544,1273811
2,17,4,"176.9",1886,1065934
2,17,5,"~",21,0
2,18,0,"300.0",25982,8661723
2,18,1,"265.7",1700,639771
2,18,2,"248.6",151,60731
2,18,3,"243.9",3172,1300616
2,18,4,"192.8",1921,996369
2,18,5,"~",26,0
